Luther Strange
Adan Celal
Celal Doğan
Didem Engi̇N
Ali Durmuş Sarikaya
Dursun Çi̇Çek
Edip Semih Yalçin
Ekmeleddin İHsanoğlu Mehmet
Ekrem Erdem
Altay Engin
Erdoğan Toprak
Erdem Eren
Erkan Kandemi̇R
Erol Kaya
Benli̇ Fatma
Betül Fatma Kaya Sayan
Feyzullah Kiyiklik
Demi̇R Filiz Keresteci̇Oğlu
Akkuş Gamze İLgezdi̇
Garo Paylan
Gülay Yedekci̇
Gürsel Teki̇N
Dalkiliç Halis
Harun Karaca
Hasan Sert
Hasan Turan
Hayati Yazici
Ali Haydar Yildiz
Hulusi Şentürk
Hüda Kaya
Bürge Hüseyin
Ci̇Haner İLhan
İLhan Kesi̇Ci̇
İSmail Kahraman
Aksu Faruk İSmail
İZzet Ulvi Yönter
Mahmut Tanal
Eseyan Markar
Mehmet Meti̇Ner
Mehmet Muş
Akif Hamzaçebi̇ Mehmet
Ali Mehmet Pulcu
Eker Mehdi Mehmet
Külünk Metin
Belma Mihrimah Satir
Mustafa Şentop
Mustafa Yeneroğlu
Mustafa Sezgin Tanrikulu
Nebati̇ Nureddin
Kaan Oğuz Salici
Adigüzel Onursal
Boyraz Osman
Buldan Pervin
Kan Kavakci Ravza
Demi̇Rtaş Selahattin
Doğan Selina
Serap Yaşar
Sibel Özdemi̇R
Ayata Sencer Süleyman
Pavey Şafak
Ünal Şirin
Kaynarca Tülay
Bozkir Volkan
Akkaya Yakup
Seferi̇Noğlu Yıldız
Emre Zeynel
Ahmet Kenan Tanrikulu
Ahmet Tuncay Özkan
Ali Yi̇Ği̇T
Atila Sertel
Aytun Çiray
Binali Yildirim
Ertuğrul Kürkcü
Fatma Hotar Nükhet Seniha
Dağ Hamza
İBrahim Mustafa Turhan
Kamil Okyay Sindir
Kemal Kiliçdaroğlu
Ali Kerem Sürekli̇
Atilla Kaya Mahmut
Bakan Murat
Musa Çam
Ali Balbay Mustafa
Doğan Müslüm
Kalkan Necip
Oktay Vural
Purçu Özcan
Böke Sayek Selin
Bayir Tacettin
Altiok Zeynep
Celalettin Güvenç
Fahrettin Oğuz Tor
İMran Kiliç
Mahir Ünal
İLker Mehmet Çi̇Ti̇L
Di̇Li̇Pak Mehmet Uğur
Nursel Reyhanlioğlu
Kaynak Veysi
Burhanettin Uysal
Ali Mehmet Şahi̇N
Konuk Recep
Recep Şeker
Ahmet Arslan
Ayhan Bi̇Lgen
Beyri̇Bey Selahattin Yusuf
Demi̇R Murat
Arik Çetin
Hülya Nergi̇S
İSmail Tamer
